duration,end,explosive,continuous,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
0.020833333333333336,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.002777777777777778,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.08333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.041666666666666664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.10416666666666666,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.0625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.66,1730.0,17.2,17.0,1414.294118,0.0,1.0,0.0,0,0.217,1.33,19.0
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
0.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.66,1730.0,17.2,17.0,1414.294118,0.0,1.0,0.0,0,0.217,1.33,19.0
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
0.020833333333333336,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
0.041666666666666664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.20833333333333331,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.041666666666666664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.04861111111111111,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
12.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.0,2632.0,508.0,47.0,378.2340426,1.0,1.0,0.0,0,0.069,1.53,13.2
0.0034722222222222225,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25.82,924.0,3.5,11.0,88402.3,1.0,1.0,0.0,0,0.228,1.42,26.9
0.10416666666666666,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25.82,924.0,3.5,11.0,88402.3,1.0,1.0,0.0,0,0.228,1.42,26.9
0.041666666666666664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
0.01388888888888889,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
0.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
0.0004629629629629629,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,30.72,2568.0,16.5,13.0,1647.615385,0.0,1.0,0.0,0,0.132,1.34,18.2
0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.041666666666666664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.16666666666666666,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.67,2882.0,6.1,46.0,235.7826087,0.0,1.0,0.0,0,0.157,1.41,19.8
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.0,2632.0,508.0,47.0,378.2340426,1.0,1.0,0.0,0,0.069,1.53,13.2
0.10416666666666666,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.02777777777777778,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18.43,3745.0,16.1,3.0,1664.0,0.0,1.0,0.0,0,0.168,1.31,20.1
0.0125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43.51,2549.0,16.2,4.0,12830.75,1.0,1.0,0.0,0,0.154,1.36,21.0
0.020833333333333336,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43.51,2549.0,16.2,4.0,12830.75,1.0,1.0,0.0,0,0.154,1.36,21.0
0.5833333333333333,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.95,790.0,8.6,4.0,330.6666667,1.0,1.0,0.0,1,0.116,2.15,21.6
0.16666666666666666,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.001388888888888889,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.034722222222222224,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21.45,1785.0,2.5,23.0,840.9565217,1.0,1.0,0.0,0,0.155,1.31,18.5
0.00625,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.0006944444444444445,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.001388888888888889,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.0020833333333333333,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.020833333333333336,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.22,516.0,5.5,2.0,21836.5,1.0,1.0,0.0,1,0.079,2.67,20.5
0.2708333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65.0,5672.0,22.6,5.0,4123.0,0.0,1.0,1.0,1,0.16,1.51,18.2
0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
0.008333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.009027777777777779,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.0076388888888888895,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.14583333333333331,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31.0,2435.0,138.0,21.0,1429.619048,0.0,1.0,0.0,0,0.1,1.25,12.9
0.0034722222222222225,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
0.00625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.004166666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,3283.0,116.0,12.0,1205.083333,1.0,1.0,0.0,0,0.125,1.42,18.3
0.20833333333333331,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.35416666666666663,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.024305555555555556,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31.0,2962.0,15.7,9.0,939.0,0.0,0.0,1.0,0,0.202,1.26,21.2
0.125,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
0.47916666666666663,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
0.0625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
0.005555555555555556,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,3283.0,116.0,12.0,1205.083333,1.0,1.0,0.0,0,0.125,1.42,18.3
0.0076388888888888895,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.01388888888888889,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.0038194444444444448,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.0038194444444444448,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.02291666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.02291666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.0020833333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.01388888888888889,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.67,2334.0,5.8,1.0,30250.0,1.0,1.0,0.0,0,0.209,1.51,20.0
3.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.013194444444444444,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.4583333333333333,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.02777777777777778,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.67,2882.0,6.1,46.0,235.7826087,0.0,1.0,0.0,0,0.157,1.41,19.8
0.0003472222222222222,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54.33,3977.0,115.0,7.0,3051.571429,0.0,1.0,0.0,0,0.097,1.82,19.3
0.0003472222222222222,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54.33,3977.0,115.0,7.0,3051.571429,0.0,1.0,0.0,0,0.097,1.82,19.3
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.08333333333333333,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.004166666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.22,1036.0,6.5,26.0,842.0384615,1.0,1.0,0.0,0,0.082,1.32,12.5
0.11111111111111112,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.0,2236.0,11.2,3.0,9382.333333,1.0,1.0,1.0,1,0.105,1.43,15.1
0.052083333333333336,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.0034722222222222225,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.01388888888888889,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
6.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
0.08333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.0625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.0010416666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.67,1978.0,44.0,10.0,1880.1,0.0,1.0,0.0,0,0.075,1.24,11.7
21.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.16666666666666666,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21.45,1785.0,2.5,23.0,840.9565217,1.0,1.0,0.0,0,0.155,1.31,18.5
0.0008680555555555555,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
1.3333333333333333,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.041666666666666664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.041666666666666664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.0016898148148148148,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,2462.0,25.8,18.0,1369.166667,1.0,1.0,0.0,0,0.216,1.23,18.6
0.004513888888888889,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,3283.0,116.0,12.0,1205.083333,1.0,1.0,0.0,0,0.125,1.42,18.3
0.004861111111111111,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,32.0,2569.0,6.0,11.0,2896.909091,1.0,1.0,1.0,0,0.152,1.53,18.9
0.004861111111111111,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.9,875.0,10.6,7.0,4210.571429,1.0,1.0,0.0,0,0.119,1.23,17.8
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23.4,294.0,0.34,20.0,768.75,0.0,1.0,0.0,0,0.124,1.53,16.0
0.01388888888888889,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,2460.0,6.9,4.0,110037.0,0.0,1.0,0.0,0,0.19,1.35,18.1
0.7291666666666666,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.0034722222222222225,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
0.002777777777777778,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
0.375,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65.0,5672.0,22.6,5.0,4123.0,0.0,1.0,1.0,1,0.16,1.51,18.2
0.0020833333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.0010416666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.0020833333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.0017361111111111112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.0017361111111111112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.0009490740740740741,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70.17,5960.0,7.2,7.0,11641.71429,0.0,1.0,0.0,0,0.085,1.81,13.9
0.0020833333333333333,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.59,1916.0,73.0,21.0,1589.857143,0.0,1.0,1.0,0,0.074,1.51,12.3
0.0006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,2697.0,95.0,30.0,513.2333333,1.0,1.0,0.0,0,0.064,2.15,11.4
0.017361111111111112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.034722222222222224,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.010416666666666668,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.08333333333333333,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.94,2829.0,392.0,2.0,11525.5,1.0,1.0,1.0,0,0.113,1.18,14.3
0.0625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.0,1974.0,38.0,3.0,8541.333333,0.0,1.0,0.0,0,0.114,1.31,16.7
0.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.0,1974.0,38.0,3.0,8541.333333,0.0,1.0,0.0,0,0.114,1.31,16.7
0.0034722222222222225,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.015972222222222224,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.0024305555555555556,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.08333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.0,1974.0,38.0,3.0,8541.333333,0.0,1.0,0.0,0,0.114,1.31,16.7
0.015972222222222224,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.0006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.001388888888888889,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.0012847222222222223,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.0076388888888888895,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.011111111111111112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.22,1270.0,3.4,1.0,40491.0,1.0,1.0,0.0,0,0.203,1.33,19.0
0.009722222222222222,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.22,1036.0,6.5,26.0,842.0384615,1.0,1.0,0.0,0,0.082,1.32,12.5
